Date,Close
1/2/2014 16:00:00,177.21
1/3/2014 16:00:00,178.27
1/6/2014 16:00:00,177.66
1/7/2014 16:00:00,181.2
1/8/2014 16:00:00,179.54
1/9/2014 16:00:00,178.98
1/10/2014 16:00:00,178.86
1/13/2014 16:00:00,175.9
1/14/2014 16:00:00,177.58
1/15/2014 16:00:00,179.32
1/16/2014 16:00:00,180.3
1/17/2014 16:00:00,181.57
1/21/2014 16:00:00,179.98
1/22/2014 16:00:00,174.08
1/23/2014 16:00:00,174.54
1/24/2014 16:00:00,171.59
1/27/2014 16:00:00,169.92
1/28/2014 16:00:00,168.92
1/29/2014 16:00:00,168.49
1/30/2014 16:00:00,169.41
1/31/2014 16:00:00,168.76
2/3/2014 16:00:00,165.15
2/4/2014 16:00:00,165.09
2/5/2014 16:00:00,166.43
2/6/2014 16:00:00,166.84
2/7/2014 16:00:00,169.3
2/10/2014 16:00:00,169.2
2/11/2014 16:00:00,171.64
2/12/2014 16:00:00,172.16
2/13/2014 16:00:00,173.69
2/14/2014 16:00:00,175.45
2/18/2014 16:00:00,174.98
2/19/2014 16:00:00,174.75
2/20/2014 16:00:00,176
2/21/2014 16:00:00,174.59
2/24/2014 16:00:00,175.22
2/25/2014 16:00:00,175.01
2/26/2014 16:00:00,175.81
2/27/2014 16:00:00,176.96
2/28/2014 16:00:00,176.87
3/3/2014 16:00:00,176
3/4/2014 16:00:00,178.08
3/5/2014 16:00:00,178.75
3/6/2014 16:00:00,179.23
3/7/2014 16:00:00,179.27
3/10/2014 16:00:00,178.03
3/11/2014 16:00:00,178.39
3/12/2014 16:00:00,177.87
3/13/2014 16:00:00,175.65
3/14/2014 16:00:00,174.04
3/17/2014 16:00:00,177.48
3/18/2014 16:00:00,178.43
3/19/2014 16:00:00,176.43
3/20/2014 16:00:00,179.48
3/21/2014 16:00:00,178.3
3/24/2014 16:00:00,179.81
3/25/2014 16:00:00,186.3
3/26/2014 16:00:00,183.98
3/27/2014 16:00:00,181.32
